Auteur(s),Titre,Edition,Date,ISBN
De Marshall Jevons,Équilibre fatal,Économica,2002,1217656637
Armelle Auris,La ronde ou le peintre interroge,Harmattan,1991,1197089807
De Danièle Ouanès,Chronique d'une terre aliénée,Harmattan,2004,1187934597
De Robert Pannet,apparitions aujourd'hui,CLD - Cahiers du livre et du disque,2000,1081068737
Collectif,Life live 2vols - la scene artistique au royaume-uni en 1996 de nouvelles aventu,Paris-Musées,1998,1056497067
"Bordeaux, l'art du vin","Bordeaux, L'Art Du Vin",Festin,2005,1020238027
manuel élève,Chimie - 1re S,Belin Éducation,1990,1234360027
Desnoettes caroline,Le Musee Des Animaux,Réunion des Musées Nationaux,2005,1223650107
Illustrations de Cyril Courgeau,"Données urbaines

5 - Donnees Urbaines 5",Économica,2007,1217646197
De David Taylor,Les chiens,"Illustrations de Dave King, Jane Burton",2006,1090555807
Gabriel Tarde et la criminologie au tournant du siècle,RHSH n°3 - Gabriel Tarde et la criminologie au tournant du siècle,Presses Universitaires du Septentrion,2000,1076103877
"De Susanna Penman, Peter Emily",Dentisterie du chien et du chat,Préface de Philippe Hennet,1998,1072239217
Rijnders,L'Amateur,Lansman,2002,1062678817
De Lynda La Plante,Suspect numéro un,Traduit par Pascal Loubet,1995,1233074047
"La Fontaine, ""Adonis"", ""Le songe de Vaux"", ""Les amours de Psyché et de Cupidon""",Le spectacle de la parole. : La Fontaine  Adonis  Le Songe de Vaux  Les Amours de Psyché et de Cupidon,Éditions Paradigme,1996,1066718547
De Eric Carle,souris qui cherche un ami (la),Traduit par Laurence Bourguignon,1997,1064079227
2,Aventure humaine n.2 1995 americani.,PUF,1996,1805028437
"Volume 2, Le chien tout fou, Le chaton a disparu, Le nouveau poney, La chèvre grognon, La tempête de neige, Une visite surprise, Le jour du marché, Une nuit sous la tente, Volume 2, Le chien tout fou, Le chaton a disparu, Le nouveau poney, La chèvre grNoneNoneNone",Petits Contes De La Ferme Volume 2,Illustrations de Stephen Cartwright,2006,1105549469
(None970-None982),Avec Aragon,Gallimard,2003,1865305897
4,Enfance 1991 - n° 4,PUF,1992,1805063377
témoignage au procès Barbie,Le crime d'être né,Préface de Christian Charrière-Bournazel,1996,1715461897
De Chow Ching Lie,Le concerto du fleuve jaune - NE,Robert Laffont,2001,1714405247
Bouquin d'enfer,Renaud,Rocher,2002,1667461577
Alain Buhler,"Enfer et ses fils Buhler, Alain",Mercure de France,1980,1220288167
"Conflits, gouvernance et turbulences en Afrique de l'Ouest et centrale","Démocratie, enjeux fonciers et pratiques locales en Afrique","Édité par Université catholique de Louvain, Chaire du monde africain, Institut d'études du développement",2000,1197053207
Genèse et contexte géopolitique,Burundi 1965 : la 1ère crise ethnique,Harmattan,2005,1187910077
None,L'église éclaboussée ! - roman,Société des écrivains,2007,1187469117
"Soldati, Bruno","Sous Les Pieds D'Alcybion, La Braise",Publibook,2007,1187160677
de la polymérisation aux propriétés,Polymères - de la polymérisation aux propriétés,Économica,1999,1094959847
IVe-XIIe siècle,"Foi chrétienne et églises dans la société politique de l'Occident du Haut Moyen Âge, 4e-12e siècles",Presses Universitaires de Limoges,2004,1092627297
"Colloque de Paris, 27-28 octNone None978",Passion dans le monde anglo-américain aux 17e et 18e siècles (La),Presses Universitaires de Bordeaux,1979,1067689177
"De Daniel Sylvestre, Bertrand Gauthier",6 - Zunik - tome 6 Le spectacle,Calligram,2000,1051044907
None,Littérature et reproduction : l'homme artificiel,Pu Valenciennes,2001,1029775147
De John Dickson Carr,"J. D. Carr.

7 - J.D. Carr - Tome 7",Éditions du Masque,2003,1233069477
l'essence du surf,Uhaina - l'essence du surf,Atlantica,2002,1091555417
De Francis Cohen,Monsieur le gros monsieur,Illustrations de Agnès Thurnauer,2005,1025843017
None,Le Goût de l'avenir,Seuil,2003,1914952677
Parkinson David,The Duchamp Book /anglais,Tate,2008,2081122627
"De Julia Sokol, Steven Carter",Ces hommes qui ont peur d'aimer,Éditions de l'Homme,1999,1173590057
De Tony Thomas,Chroniques d'un conte de fées ou Journal d'un Don Quichote,Société des écrivains,2003,1187493447
"Dauba, Jean-Louis",Les Tapis Turkmenes,Publibook,2004,1187195327
"De Jean Vautrin, Baru",New York 100*Eme Rue Est,6 Pieds Sous Terre,2004,1025068817
Algèbre linéaire,Mathématiques,Cujas,2000,1680583107
De Beatrice Masini,Les chaussons roses,Illustrations de Sara Not,2006,1864925037
"nne Frank, la vie en cachette","Anne Frank, la vie en cachette",Traduit par Marie-Christine Tanguy-Gallou,2008,1922272867
Phaidon,Pentagram The Compendium,Phaidon,2002,1074295129
"De Malorie Laisne, Philippe Lapeyre",Un monde à lire CE1 - série bleue - Album 2 : Le détective Malinou,Nathan,2007,1844283127
Ritts Herb,Herb Ritts Africa /anglais,Little Brown US,1994,1180688219
De Vercors,Le silence de la mer et autres oeuvres,Omnibus,2002,1677441767
De Arnaud Desjardins,Les chemins de la sagesse,Pocket,2007,1669342737
"Colloque, École normale supérieure, 7-9 mai None966",Niveaux de culture et groupes sociaux,EHESS – Ecole des hautes études en sciences sociales,1995,1222297897
"histoire, géographie, nature, arts","Villes et villages de France.

51 - Marne - histoire, géographie, nature, arts",Deslogis-Lacoste,1996,1195549777
le renforcement des capacités locales lors de crises humanitaires,Protection ou partenariat,Eska,2002,1188296187
"Autres contributions de Yves-André Fauré, Stephen Ellis",Entreprises et entrepreneurs africains,Karthala,1995,1070124987
de la mer au désert,libye d'hier et d'aujourd'hui,Illustrations de Vincent Bisson,2002,1067798777
De Jean-Claude Pirotte,Noël du cheval de bois,Le Temps qu'il fait,1998,1066967457
Collectif,Guide Du Controle,Edipro,2000,1005213087
Gilles Arnaud,Calendrier Camarguais 2008 - 12 pages poster,Gilles Arnaud,2007,1580840257
[actes des] Journées [d'Avignon] organisées par l'Association française de psychiatrie ; l'Association française des psychiatres d'exercice privé ; l'Association scientifique des psychiatres du service public ; l'Évolution psychiatrique,Images de la psychiatrie,Frison-Roche,2000,1058788247
De Emmanuelle Arsan,Aurelie,J'ai Lu,1999,1645455577
De Jean d'Ormesson,"Une autre histoire de la littérature française I, II",Folio,2005,1865179727
De Louis Forestier,Boule de suif et La Maison Tellier de Guy de Maupassant (Essai et dossier),Folio,1995,1865113837
De Pierre Coran,Castor paresseux,Illustrations de Marie-José Sacré,1993,1732389427
De Vanyda,"Celle que...

1 - Celle que je ne suis pas",Dargaud,2008,1430496847
Nolasco,Twist ! Level 2 Cassettes (2),Oxford University Press,2006,553844599
None929-None956,BB n°23 - Monseigneur Saliège archevêque de Toulouse 1929-1956,Beauchesne,1994,1234487197
De Paul Poast,Principes D'Economie Militaire,Économica,2008,1217645207
"les DOM, la République française et la CEE, esquisse d'une trilogie partenariale",Les départements d'Outre-Mer et la CEE,Harmattan,2000,1197062787
Christopher Catling,National Geo : Amsterdam,National Geographic,2007,1089678477
la statuaire nok au Nigéria,Naissance de l'art en Afrique noire,Adam Biro,2001,1058897017
Quelques repères à travers le Nouveau Testament,Dieu exauce-t-il toujours ?,Desclée De Brouwer,2004,1050810117
De Philippe Sionneau,L'acupuncture : Les traitements efficaces (tome 2),Guy Trédaniel,2007,1078423607
De Jean Tabaud,Anes d'hier et d'aujourd'hui,Éditions du Vieux Crayon,2008,1019054147
De Pierre Lafitan,Trois générations de Citroën,Proxitude,2007,1018427287
André Costa,La fête foraine,Le Livre de poche jeunesse,1999,1922285447
"De Thierry Palermo, Alain Winter",La lutte contre les chiens dangereux,La Lettre du cadre territorial,2000,1094196557
Édité par Centre de recherche sur les identités nationales et l'interculturalité,"Volume 1, England, Scotland and the United States - Myths and Symbols of the Nation . England, Scotland and the United States - Vol. 1","Université de Nantes, CRINI",2006,1019076217
Politique et spéculation dans l'idéalisme allemand,"études philosophiques 2001, n° 1",PUF,2001,1804983067
Journal None940-None943,Petit entracte à la guerre,Gallimard,1981,1865267997
Hatano/Hatano,L'Enfant D'Hiroshima,Gallimard Jeunesse,1999,1864986417
De Philip KNone Dick,Mensonges et Cie,Robert Laffont,1984,1714487387
De Fabio Viscogliosi,Au cœur du monde,L'Association,2002,1026479817
Barbara Cartland,Richesse de l'amour (La),Traduit par Marie-Noëlle Tranchart,2006,1645147017
du projet national à la transnationalisation,Irak et Syrie 1960-1980,Les Éditions de Minuit,1982,1228194207
De Matthew Gregory Lewis,Le Moine,José Corti,1989,1221199827
"Volume 2, Sheltie et le trésor caché",Sheltie Et Le Tresor Cache N402 -Ed 06,Bayard Jeunesse,2005,1188482177
Des animaux,"12, Des Animaux - Étymologies Livre XII",Édité par Jacques André,1986,1684164167
"De Terry John Carter, Lara Dunston",Lisbonne,Lonely Planet,2006,1094795537
De Philippe Delorme,Princes De La Mer (Les),Bartillat,2006,1094496527
l'exposition,Yves klein bilingue,Centre Pompidou,2006,1091237157
"Volume 7, Volume 7","Félix

7 - Felix L'Integrale T7",Niffle,2002,1061569987
De Wilhelm Hauff,Le nain Long Nez,Traduit par Michelle Nikly,1993,621292247
les génies invisibles de la cité,Pouvoir,Le Livre de poche,1988,1682456377
"De Olivier Poussier, Gaston Lenôtre",Desserts Et Vins,Photographies de Yutaka Yamamoto,2002,1672467027
"De Warnauts, Guy Raives","Les suites vénitiennes

4 - Suites venitiennes t4 - la nuit de goree (Les)",Casterman,2005,1732115227
Avec les adresses des None00 vins qu'on aime,Le vin j'y connais rien !!!,Illustrations de Gabs,2005,1227366397
"architecture militaire, topographie, images et histoire","Les guerres daciques de Domitien et de Trajan - architecture militaire, topographie, images et histoire",École Française de Rome,2005,1207193907
De Henry James,IMPRESSIONS ANGLAISES [Paperback] JAMES HENRY,"Traduit par France Camus-Pichon, Carine Chichereau",2004,1090598767
De Geneviève Senger,La vois de son maître,La Martinière,2005,1088748737
De Duprat,Mon cousin dans la mort,Éditions Petit à Petit,2002,1021099047
"- Histoire D'Animaux, Junior Des 9/None0 Ans",Louve et le gitan (La),Flammarion,1999,1853881457
De Jean d'Ormesson,Casimir mène la grande vie,Folio,1999,1865093057
"religion, science et politique",Cas spencer (le),PUF,1998,1805009217
De Louis CNone Thomas,Jour des morts,Denoël,1983,1728271187
l'adolescence en crise entre l'enfance inachevée et l'âge adulte impossible à atteindre,Le complexe du petit prince l'adolescence en crise entre l'enfance inachevée,Robert Laffont,2003,1714403137
De Erwan Bergot,Les :170 :+Cent soixante-dix+ jours de Diên Biên Phu,Les Presses de la Cité,1979,1677495077
chroniques de France Culture,Cinq ans de purgatoire,Perrin,2007,1673481237
les lobbies face à l’urgence écologique,La fracture agricole,Delachaux et Niestlé,2008,1332484577
De Paule Du Bouchet,Coco et les bulles de savon,Illustrations de Xavier Frehring,2001,1864952627
recueil de None,Celui que j'ai aimé malgré tout - recueil de nouvelles,Société des écrivains,2007,1187467007
mythe et paysage,"Poussin, la ou le Lointain",Echoppe,1996,1094819547
De Robert Heller,Diriger une équipe,Mango,1999,1092798967
De Anja Klauss,Le Petit homme amoureux de la lune,Alice éditions,2004,1061240157
Azias / al dominique,mulhouse 2007 petit fute,Le Petit Futé,2007,1188582507
Patricia Gillet,Etienne Baluze et l'histoire du Limousin : desseins et pratiques d'un érudit du XVIIe siècle,Droz,2008,1335486837
conservés à la Réserve du Département des imprimés de la Bibliothèque nationale,Les Incunables des anciens Pays-Bas,Avec Ghislaine Elliott-Loose,1976,1217787447
Extraits du journal d'un expert,Les sous-sols du Révolu. Extraits du journal d'un expert,Futuropolis,2006,1180699787
De Graham Greene,Le consul honoraire,"Traduit par Georges Belmont, Hortense Chabrier",2008,1671462327
De Jean Raust,50 ans de medecine en touraine,CLD - Cahiers du livre et du disque,2000,1081069437
Nussbaumer,Teleinformatique 3, Presses polytechniques et universitaires romandes,1991,1054758247
"[actes du colloque international, La Châtre, 8-NoneNone juin None995]",L'éducation des filles au temps de George Sand,Presses Universitaires d'Artois,1990,1024837027
estimation statistique,Probabilités - 3ème édition - Estimation statistique,Dunod,2006,1835002127
Baumeister/Gutbrod,Willi Baumeister Werkkatalogue der Gemalde (2 Vol) /allemand,Hatje Cantz,2005,159790927
Kresmpel Ulrich,Eva & Adele Cum,Hatje Cantz,2005,42277037
"De Charles Diss, Gustave Ehret, Charles Stroh",La Vie De Sainte Odile Bd,Illustrations de Claude Delamarre,2000,1058318787
Collectif,Poetique 27,Seuil,1976,1915455567
De Alexis de Tocqueville,"Oeuvres complètes / Alexis de Tocqueville

18 - Œuvres complètes, XVIII : Correspondance d'Alexis de Tocqueville avec Adolphe de Circourt et avec Madame de Circourt",Autres contributions de Anne Paterson Kerr,1983,1865212997
Collectif,Les Temps Modernes,Gallimard,1996,1864755877
De Natsumi Mukai,"+ Anima

4 - Anima T04 (NED 2012]",Traduit par Fédoua Lamodière,2006,1583699827
Souvenirs,La Croute,Table Ronde,2002,1225188407
None,Vie et mort des plantes toxiques,Table Ronde,2007,1225170147
De l'enfant roi à l'enfant victime,Vies privées,Odile Jacob,2001,1197390637
De Auguste Iloki,Le droit du divorce au Congo,Harmattan,2004,1187936837
l'Xtreme de Verbier,Esquisses du vertige,Olizane,2004,1054637047
Jeong; Lee,Histoire Des Douzes Signes (L'),Quiquandquoi,2008,995182857
Oa¹ Va L'Eau ?,On Va A Parar L Aigua (Bro),Corimbo,2001,264683267
De Isaac Pougatch,"Mendele, un classique juif",Albin Michel,1973,1709452557
leurs effets,"""Handicapés sociaux"" et resocialisation : diversité des pratiques et ambiguité de",Harmattan,1979,1055010247
De Catherine Vadon,Les dessous des baleines,"Illustrations de Charles Dutertre, Vincent Boyer",2008,1087486747
tensions familiales et phénomènes paranormaux,Lorsque la maison crie - tensions familiales et phenomenes paranormaux,J'ai Lu,1999,1645456857
xxx,Little Red Ridy Hood Activity Book,Oxford University Press,2006,553687659
De Gwénaëlle Bron,Sur La Route De L'Or Bleu,Ancre de Marine,2007,1094088107
"De RNone PNone Rivière, Jacques Félix Schnerb",Atelier de Cezanne,Echoppe,1991,1029842457
Know YON MAN,Contes de Noël de la légion étrangère,Italiques,2005,1024963907
None759-None797,Mary Wollstonecraft-Godwin,Klincksieck,1984,1070899877
Collectif,No Suicide,Children,2000,965476887
Denyer m,rond point niveau 2 - dvd + livret,La Maison des langues,2007,253965907
"Préparer, décider et mettre en oeuvre l'externalisation d'activités stratégiques",Stratégies d'externalisation - 3ème édition,Dunod,2007,1834995177
De Jean-Patrick Manchette,La position du tireur couché,Folio,1998,1865093887
De la bataille des frontières aux combats de Champagne (None9None4-None9None5),Franchise militaire,Gallimard,1986,1864794807
None,La Défense de l'infini,Autres contributions de Lionel Follet,2002,1864733547
boudot pierre,Ontologie de nietzsche (l'),PUF,1971,1805185727
"Karine-Marie Amiot, Marie-Ange Richermo, Claire Renaud, Sophie Maraval Hutin",5 histoires pour mes 5 ans (1 livre + 1 CD audio),Fleurus,2007,1720455547
retour sur une manipulation,L'affaire Yann Piat,"""Éditions Privé""",2006,1584740157
"De Pierre Chrestian, Benoît de Billy",Guide illustré des fractures des membres de l'enfant,Sauramps médical,2002,1095267317
Lewis Blackwell,Twentieth-Century Type Remix /anglais,Laurence King Editions,2007,2078809127
Phraséologie et sécurité linguistique,L'anglais dans le ciel des Antilles-Guyane,Harmattan,1992,1197089237
"Hoste Chant, TNone D'",La Harpe Est Une Fete,Publibook,2008,1187159087
Échos intérieurs,Incandescence,Encre marine,2004,1026077457
Illustrations de Christian Malon,Saisons,Charles Corlet,1997,1080693717
"tradition, narration et nation en Asie du Sud","The Resources of History. Tradition, Narration and Nation in South Asia",EFEO – École française d'Extrême-Orient,2005,1080104217
De JNoneMNoneGNone Le Clézio,Lullaby,Illustrations de Georges Lemoine,2007,1864887707
None,Un Costume Dans La Terre,Seuil,2004,1914943477
De Martin Waddell,toi et moi petit ours,Illustrations de Barbara Firth,2007,1724460997
De Dominique Pipon,Bavards Contrariés,Le Manuscrit,2006,1187327127
Eric Chmara,Projet - La Vie D'Un Autre -,Inlibroveritas,2008,1583408857
De Claire Bretécher,Tourista - Tome 1 - Tourista,Dargaud,2007,1430499787
Daniel Picon,Illusions d'optique,Mango,2004,1195081837
Dupa,Cubitus / Pas de salade,Le Lombard,1996,1131894507
De Françoise Zimmer,Les légumes anciens en 60 recettes,Rustica,2007,1095113037
Hutchinson,Project Second Edition 3: Student'S Book,Oxford University Press,2006,553832329
"Crises, changements, innovations ?",Institutions et organisations de l'action sociale,Harmattan,2003,1187961047
None,La révolte des chiens - roman,Société des écrivains,2003,1187485657
De Joël Schmidt,"Les ""Nibelungen""",Zulma,2001,1092458397
"YANN, Didier CONRAD",Crane Du Pere Ze (Le) Edition 2,Dargaud,1996,1064209447
De Marie-Thérèse Des Longchamps,Traité des aspects en astrologie,Lanore,1997,1083929387
De  Roba,"Boule & Bill

10 - Boule et Bill - Tome 10 - Bill, chien modèle",Dupuis,2008,1135358327
Mordillat Gerard / Prieur Jerome,Roi Des Juifs,Fayard/Mille et une nuits,2000,1093448947
De Philip Pullman,Lyra et les oiseaux,Illustrations de John Lawrence,2004,1864943147
De Philippe Corentin,Afrique De Zigomar (L') - Biblio,École des Loisirs,2007,1724437617
Hammer,"Graham Sutherland : Landscapes, War Scenes, Portraits 1927-1950 /anglais",Scala GB,1999,2077906247
Les grands mythes dans l'histoire du monde,La lumière de la nuit  Les grands mythes dans l'histoire du monde,"Traduit par Tristan Macé, Brigitte Pérol",1999,1864751397
ModernitésNone XIXe-XXe siècles,Histoire de la France littéraire. Volume III,PUF,2006,1804976007
"De Yves Déloye, Olivier Ihl",L'acte de vote,Presses de Sciences Po,2008,1210889707
Dirigé par Gilbert Larguier,La terre et les paysans en France et en Grande-Bretagne de 1600 à 1800,Contributions de Joan Thirsk,1999,1205631967
Editions Piccolia,P* Mini-Livre Bain / Papillon,Piccolia,2003,1090095017
Gérard Willoquet,Guide pharmaco (2ème Edition),Lamarre,1998,1085196057
apy Pêchou,Papy Pêchou,Beluga,2009,1092037517
dans le secret des objets et des mondes,Trésors méconnus du Musée de l'Homme dans le secret des objets et des mondes,Le Cherche Midi,1999,1072753467
De Luc Bricout,Débuter dans l'industrie automobile 1998,L'Étudiant,1999,1068042887
"Géopolitique des Etats-Unis : culture, intérêts, stratégies, Géopolitique des Etats-Unis : culture, intérêts, stratégies, Géopolitique des Etats-Unis : culture, intérêts, stratégies, Géopolitique des Etats-Unis : culture, intérêts, stratégies",Géopolitique des Etats-Unis,Ellipses,2004,1205678497
De Robin Kerrod,Le Ciel La Nuit Votre Guide Du Ciel,Nathan,2001,1842890197
Collectif,Villard de Honnecourt n° 30 - Matière et renaissance spirituelle - Aspects initiatiques de ...,Glnf,1996,1033872217
Parallele Entre Deux Cultures,Defricheurs et pionniers (parallele entre deux cultures),Gallimard,1963,1865316917
De Horace,Odes,Autres contributions de Claude-André Tabart,2007,1865079867
"Edgar Poe : Sa Vie Et Ses Oeuvres, Double Assassinat Dans La Rue Morgue, La Lett",Histoires extraordinaires,Flammarion,1993,1854799897
De Philip KNone Dick,"Nouvelles / Philip K. Dick.

Tome 2, 1953-1981 - Nouvelles",Traduit par Hélène Collon,2000,1728248537
De Leo Lionni,annee bien remplie (une),Traduit par François Lasquin,1992,1724477927
les premiers hommes,La préhistoire,"Illustrations de Paul Bontemps, Marc Lagarde, Valérie Stetten",1994,1707781217
None66None-None670,2 - Louis XIV - tome 2 Les passions et la gloire,Plon,2003,1676305247
De Yves Bonnefoy,L'improbable et autres essais,Mercure de France,1974,1220298637
None,"Captain Bolitho.

Le feu de l'action",Libretto,2005,1182599057
Nouveaux problèmes,Texte/Image,Presses universitaires de Rennes,2005,1181999787
De Odile Ménard,Touraine (La),Alan Sutton,2005,1092967007
De Alexandre Blin,D'encre et de sang mêlés,Le Manuscrit,2007,1631499107
"De Frédérique Deviller, Isabelle Contreau",Harry Potter,"Illustrations de Frédéric Lucano, Sonia Lucano",2001,1092797427
De Pigault-Lebrun,L'enfant du bordel,La Musardine,1997,1092790217
Écrits,Jean Barraqué,Édité par Laurent Feneyrou,2001,1076056107
entretiens avec Yves Messarovitch sur quelques idées reçues,Le piège entretiens avec Yves Messarovitch sur quelques idées reçues,Fixot,1993,1059048197
None95None-None958,Simca Aronde 1951-1958,Pixel Studio,2008,1018462257
Paul Zumthor,Essai de poétique médiévale,Seuil,1972,1915479907
De Tonino Guerra,L'Équilibre,Traduit par Emmanuelle Joly,1970,1865229797
"De Frances Hodgson Burnett, Marie-Louise Pressoir, Charlotte Pressoir",Le Petit Lord Fauntleroy,Illustrations de Reginald Bathurst Birch,2001,1865169127
None,Ombres sur la prairie,Traduit par Marthe Metzger,2007,1865107197
De Claude Delmas,Histoire de la civilisation europeenne,Que sais-je ?,1992,1805134367
De Maurice Bommensath,Manager l'intelligence de votre entreprise,Éditions d'Organisation,1987,1227392297
"De André Rochette, Gilles Farcet",Par l'amour de la vie,Préface de Arnaud Desjardins,1997,1225192367
De Bonnie Bryant,"Grand Galop.

Une cousine trop parfaite",Traduit par Valérie Mouriaux,2002,1188495587
None50 jeux et activités pour les enfants de 3 à 6 ans,Mon enfant joue et apprend 150 jeux et Activités pour les enfants de 3 a 6ans,"Traduit par Louise Chrétien, Marie-Josée Chrétien",2005,1173579037
"associations, militants et mosquées","Etre musulman en France - associations, militants et mosquées",Karthala,2000,1070125277
None,Enfance volée - roman,Complicités,2005,1024778907
un héros pyrénéen sous l'Empire,Jean-Baptiste Guindey - un héros pyrénéen sous l'Empire,Editions des Régionalismes,2003,1089318947
None,Bord de mères,Eska,2005,984077867
A Travers Le Temps,Prince de l'eternite,Traduit par Elisabeth Luc,1999,1645456027
None,Le Strip T6,Le Lombard,2008,1131875697
Phaidon,Bernini Sculptor Of The Roman Baroque,Phaidon,1996,1074303339
Rene Guenon,Le Regne De La Quantite Et Les Signes Des Temps,Gallimard,1970,1865148047
Collectif,Outre-Terre 20- Pourquoi On Meurt Au Darfour?,Erès,2008,1186291047
De Thierry Chaumillon,Contentieux,Harmattan,2006,1639488147
De Jean Rivero,Le Conseil constitutionnel et les libertés,Économica,1999,1217688037
à l'usage des élèves infirmières,Traumatologie Et Orthopedie A L' Usage Des Eleves Infirmiers,Heures de France,2004,1081647757
De Isabelle Crété-Protin,Église et vie chrétienne dans le diocèse de Troyes du IVe au IXe siècle,Presses Universitaires du Septentrion,2002,1076102757
Dirigé par Gérald Cahen,La Conversation,Autrement,1999,1072891817
None,In House design Hanbook /anglais,Rotovision,2008,995138297
De Colin Harrison,Havana Room,Traduit par Oristelle Bonis,2006,1671457637
None,Les Chevaux de l'adolescence,Préface de Claire Bruyère,1990,1667440787
Piccolia,Points A Relier/Les Tout-Petits 3+,Piccolia,2007,1182492677
Enjeux et perspectives de la stratégie aérienne,L'Airpower au 21<sup>e</sup> siècle,Bruylant,2005,1132779377
"Shipton, Strange",Chit Chat 1 Cassettes (2),Oxford University Press,2006,553845299
De Luc Ferry,"Philosophie politique .

2 - Philosophie politique 2",PUF,1987,1805105947
De Laurence Raineau,L'utopie de la monnaie immaterielle,PUF,2004,1804970927
pagnol marcel,Secret masque de fer,Casterman,1993,1732058067
None,William Scott /anglais,Thames & Hudson,2006,860443379
"Daniere, Sabine",Petites Graines,Publibook,2007,1187161957
De Ivo Andric,La chronique de Travnik,Traduit par Pascale Delpech,2005,1092886117
De Jarosław Piasecki,Échelles de temps en théorie cinétique, Presses polytechniques et universitaires romandes,1997,1054756967
"De Maryse Lamigeon, François Vincent",mistral cheval de gardian,École des Loisirs,2007,1724415007
Schneebeli G,Hydraulique Souterraine,E.D.F.,1987,1723485247
Passe-Temps,Le Marchand de Venise,Avant-Scène Théâtre,2003,1185700017
"Somatisations à l'adolescence, Somatisations à l'adolescence",Somatisations A L'Adolescence,Georg,2003,1109792057
De Vénus Khoury-Ghata,Louis stettner - sophisme - photographies 1990-1999,Ides et Calendes,2001,1109698707
De Pascale Peruilhe,Chloe princesse des Caraïbes,Le Manuscrit,2007,1187314127
Autres contributions de Pierre Janin,L'avenir des planteurs camerounais - résister ou se soumettre au marché,Karthala,2000,1070120347
De Jef Gedez,Brizh-heol,Mouladuriou Hy,1999,1066869167
Volume None,Corse Vue De Genes T1,Alain Piazzola,2004,1028338877
None,"Rosa, ce soir",Traduit par Jean-Marie Saint-Lu,1999,1025593377
"demeures royales, princières et privées","A la recherche des chateaux disparus d'Ile-de-France demeures royales, princières et privées",Préface de Jean-Pierre Babelon,2003,16715113
De Armen Godel,Le Maître de Nô,Albin Michel,2004,1709348447
De Maya Roy,Musiques cubaines,Actes Sud,1999,1192782507
De France,"Code civil, 2009",Édité par Laurent Leveneur,2008,1224490277
De Bertolt Brecht,Sainte Jeanne des abattoirs,Traduit par Pierre Deshusses,2008,1083683517
Jean Delay,Discours De Reception A L'Academie Francaise Et Reponse De M. Louis Pasteur Vall,Gallimard,1960,1865281857
Richepin J,La Mer,Gallimard Loisirs,1980,1864899717
De Franz-Olivier Giesbert,L'am_ricain,Gallimard,2004,1864729277
De Sir Basil HNone Liddell Hart,Stratégie,Tempus Perrin,2007,1673474147
De Carlo Santulli,Irrégularités internes et efficacité internationale de la nationalité,Panthéon-Assas,1998,1660499047
Hugo Victor,le dernier jour d'un condamne,J'ai Lu,2003,1645165537
Illustrations de Luana Rinaldo,Canard Clip Clap,Gründ,2008,1235481307
"illustrations de Anna Curti textes de Giovanna Mantegazza, traduit de l'italien par Mélanie Caillierez",Le corps humain,Cerise bleue,2008,1177198857
Faro A,L'Eau Un Scandale Francais,Rocher,1990,1667432897
De Philippe Malaval,L'Essentiel du marketing B to B,Contributions de Christophe Bénaroya,2000,1077599077
"De Frédéric Deval, Abbaye Notre-Dame de Royaumont",Royaumont est le seul lieu au monde où Buenos Aires est à vingt mètres de Téhéran,Illustrations de Gilles Abegg,2005,1021889477
Cornec Orieska CNone,Grains De Lune,"""Joseph Ouaknine""",2007,1019409487
De Françoise Gasparri,Un crime en Provence au XVe siècle,Albin Michel,1991,1709451987
None,Jardin fatal,Le Livre de poche,2005,1682386257
None,"Madame est morte Denis, Stéphane",Le Livre de poche,2000,1682352457
Bye,Les Problemes Economiques Europeens,Cujas,2000,1680793247
De Marie Dumas,Gérer le poids de son enfant,Contributions de Loïc Epelboin,2008,1581000097
Dessins Italiens Du Musee Du Louvre,"Inventaire général des dessins italiens....

6 - michel-ange eleves et copistes",Avec Paul Joannides,2003,1223659847
"None5 scénarios possibles, plus un",Comment se débarrasser de son psychanalyste,Illustrations de Sempé,1988,1915401147
De Marie-Claire Kerbrat,Lecons litt. emploi du temps m.butor,Belin Éducation,1998,1805027197
None,Scepticisme & Cie,Traduit par Philippe Rouard,2001,1728249947
De Henri Troyat,Le jugement de Dieu,Pocket,1991,1669453457
"De María Luisa Blanco, Antonio Lobo-Antunes",Conversations avec António Lobo Antunes,Traduit par Michelle Giudicelli,2004,1668483137
Peterson Charles,Charles Peterson Touch Me I'm Sick (Hardback) /anglais,PowerHouse,2003,1936338919
None870-None87None - Journaux croisés d'un écrivain et d'un enfant,Le Siège de paris,Harmattan,2007,1639457577
hommage à Jean-Pierre Poü,La Mediterranée d'hier à demain - Hommage à Jean-Pierre Poü,Albiana,2005,1088519467
De Noël Simsolo,Clint Eastwood,Cahiers du cinéma,1990,1069079387
De Grégory Charlet,1 - Kabbale. 1. Gaël,Dargaud,2002,1064207217
De Jacques Kaufmann,Les cierges de l'apocalypse,Cheminements,2003,1021025517
De Stéphen Liégeard,Vingt journées d'un touriste à Luchon,Monhélios,2007,1020790767
Collectif,Annee Philologique T21 1950 Abonnement 1952,Belles Lettres,2005,1019936077
"son histoire, ses monuments, ses grands vins, ses mousseux, ses macarons, ses champignons","Saint-Émilion - son histoire, ses monuments, ses grands vins, ses mousseux, ses macarons, ses champignons",Livre d'histoire,2004,1091768817
